"ref","adv","loc","covid","goaltime","cens","ref_pos","ref_pts","ref_gd","ref_gf","ref_ga","adv_pos","adv_pts","adv_gd","adv_gf","adv_ga","ref_ability","adv_ability"
"Crystal Palace","Burnley","Away","Pre",45,1,12,49,-2,51,53,15,40,-23,45,68,"Not Top 6","Not Top 6"
"West Ham","Chelsea","Away","Pre",48,1,10,52,-3,52,55,3,72,24,63,39,"Not Top 6","Top 6"
"Brighton","Liverpool","Away","Pre",79,1,17,36,-25,35,60,2,97,67,89,22,"Not Top 6","Top 6"
"Bournemouth","Tottenham","Away","Pre",73,1,14,45,-14,56,70,4,71,28,67,39,"Not Top 6","Top 6"
"Watford","Southampton","Away","Pre",24,1,11,50,-7,52,59,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Everton","Leicester","Away","Pre",23,1,8,54,8,54,46,9,52,3,51,48,"Not Top 6","Not Top 6"
"Bournemouth","Crystal Palace","Away","Pre",90,0,14,45,-14,56,70,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Man City","Burnley","Away","Pre",24,1,1,98,72,95,23,15,40,-23,45,68,"Top 6","Not Top 6"
"Watford","Leicester","Away","Pre",90,0,11,50,-7,52,59,9,52,3,51,48,"Not Top 6","Not Top 6"
"Tottenham","Man United","Away","Pre",39,1,4,71,28,67,39,6,66,11,65,54,"Top 6","Top 6"
"West Ham","Wolves","Away","Pre",90,0,10,52,-3,52,55,7,57,1,47,46,"Not Top 6","Not Top 6"
"Everton","Liverpool","Away","Pre",21,1,8,54,8,54,46,2,97,67,89,22,"Not Top 6","Top 6"
"Brighton","Arsenal","Away","Pre",36,1,17,36,-25,35,60,5,70,22,73,51,"Not Top 6","Top 6"
"Chelsea","Everton","Away","Pre",52,1,3,72,24,63,39,8,54,8,54,46,"Top 6","Not Top 6"
"Liverpool","Bournemouth","Away","Pre",35,1,2,97,67,89,22,14,45,-14,56,70,"Top 6","Not Top 6"
"Burnley","Tottenham","Away","Pre",90,0,15,40,-23,45,68,4,71,28,67,39,"Not Top 6","Top 6"
